#{"t_start": 1684358533.0692818, "env_id": null}
r,l,t
14,14,4921.126198
20,20,4928.319883
17,17,4934.567693
16,16,4940.73401
15,15,4947.126268
17,17,4954.250531
14,14,4960.45924
14,14,4966.966372
18,18,4973.475478
16,16,4980.891263
14,14,4987.358059
18,18,4993.924158
14,14,5000.441237
13,13,5006.81564
18,18,5015.041514
11,11,5021.175821
16,16,5027.930315
16,16,5034.09839
13,13,5040.514922
13,13,5046.714906
9,9,5053.17292
15,15,5059.455217
18,18,5065.605666
13,13,5072.865769
12,12,5079.355547
14,14,5085.731117
16,16,5091.953903
12,12,5098.189533
13,13,5104.755141
13,13,5110.888456
21,21,5118.637783
13,13,5124.847069
17,17,5131.33038
13,13,5137.521919
13,13,5143.604348
12,12,5150.055969
22,22,5157.154058
23,23,5164.446098
15,15,5170.937651
15,15,5177.203583
15,15,5183.740545
13,13,5189.912404
15,15,5196.178005
13,13,5202.361323
15,15,5209.678736
16,16,5216.453093
21,21,5222.919601
13,13,5229.394131
36,36,5241.74366
11,11,5248.275513
12,12,5255.558597
14,14,5261.68562
18,18,5267.768826
19,19,5275.193739
14,14,5281.46034
13,13,5287.593056
16,16,5293.984736
15,15,5300.434747
12,12,5306.893171
13,13,5313.426194
15,15,5319.551049
16,16,5325.742817
13,13,5331.900028
12,12,5338.317163
12,12,5344.399435
15,15,5350.599459
21,21,5358.77441
13,13,5365.249851
13,13,5371.399536
13,13,5377.832265
14,14,5384.382434
17,17,5391.648592
15,15,5397.839697
14,14,5404.042359
14,14,5410.31549
14,14,5416.664927
11,11,5423.12279
13,13,5429.257673
15,15,5435.489399
15,15,5441.972699
23,23,5450.681103
15,15,5457.222303
14,14,5463.380863
16,16,5469.539425
16,16,5476.029997
12,12,5482.496746
12,12,5488.91294
20,20,5495.438484
18,18,5502.672383
14,14,5509.179333
12,12,5515.679649
16,16,5522.080163
15,15,5528.245832
13,13,5534.462729
13,13,5540.929155
12,12,5547.396351
15,15,5553.537404
22,22,5561.76225
14,14,5567.877933
13,13,5574.19421
18,18,5581.670132
17,17,5587.789338
14,14,5593.920108
17,17,5601.810958
13,13,5608.068989
18,18,5614.252028
13,13,5620.843975
12,12,5626.927216
12,12,5633.535331
14,14,5639.751538
14,14,5646.25972
17,17,5652.387458
17,17,5658.518948
13,13,5664.673603
13,13,5671.068287
13,13,5677.267242
11,11,5683.417742
14,14,5689.667544
19,19,5696.675611
18,18,5703.233528
20,20,5710.291523
16,16,5717.767516
18,18,5725.267265
14,14,5731.825497
15,15,5738.341405
18,18,5744.832718
